phi,m,n,k,function,9,10,11,12,13,14,15,16,17,18,19,20,
0.000000,128,128,65536,DGEMM,6.466987e-11,6.466987e-11,6.466987e-11,6.466987e-11,6.466987e-11,6.466987e-11,6.466987e-11,6.466987e-11,6.466987e-11,6.466987e-11,6.466987e-11,6.466987e-11,
0.000000,128,128,65536,OS1-7,2.102213e-12,2.102213e-12,2.102213e-12,2.102213e-12,2.102213e-12,2.102213e-12,2.102213e-12,2.102213e-12,2.102213e-12,2.102213e-12,2.102213e-12,2.102213e-12,
0.000000,128,128,65536,OS1-11,2.293821e-12,2.293821e-12,2.293821e-12,2.293821e-12,2.293821e-12,2.293821e-12,2.293821e-12,2.293821e-12,2.293821e-12,2.293821e-12,2.293821e-12,2.293821e-12,
0.000000,128,128,65536,OS2-i8-fast,1.603778e-03,4.215501e-04,4.549168e-06,2.424032e-06,2.334309e-08,8.002851e-10,5.689005e-10,1.169578e-11,8.325659e-13,2.090642e-16,6.225089e-16,9.361503e-16,
0.000000,128,128,65536,OS2-i8-accu,4.029180e-05,6.223222e-06,5.027108e-07,3.166634e-08,8.419925e-10,7.711878e-11,3.327731e-12,2.086011e-16,2.097471e-16,2.177584e-16,2.111927e-16,2.136827e-16,
0.000000,128,128,65536,OS2-f8-fast,4.029180e-05,2.424032e-06,2.334309e-08,2.987764e-10,8.891672e-11,3.327574e-12,5.013489e-15,2.522060e-15,6.452776e-15,2.827547e-15,6.320567e-16,2.974819e-15,
0.000000,128,128,65536,OS2-f8-accu,2.938178e-07,3.166634e-08,8.419925e-10,1.169562e-11,8.325659e-13,2.097921e-16,2.117319e-16,2.082559e-16,2.152909e-16,2.159976e-16,2.098105e-16,2.145810e-16,
0.500000,128,128,1024,DGEMM,4.218211e-12,4.218211e-12,4.218211e-12,4.218211e-12,4.218211e-12,4.218211e-12,4.218211e-12,4.218211e-12,4.218211e-12,4.218211e-12,4.218211e-12,4.218211e-12,
0.500000,128,128,1024,OS1-7,1.506195e-10,1.506195e-10,1.506195e-10,1.506195e-10,1.506195e-10,1.506195e-10,1.506195e-10,1.506195e-10,1.506195e-10,1.506195e-10,1.506195e-10,1.506195e-10,
0.500000,128,128,1024,OS1-11,3.199795e-16,3.199795e-16,3.199795e-16,3.199795e-16,3.199795e-16,3.199795e-16,3.199795e-16,3.199795e-16,3.199795e-16,3.199795e-16,3.199795e-16,3.199795e-16,
0.500000,128,128,1024,OS2-i8-fast,4.830201e-03,2.504536e-04,4.705372e-06,1.923586e-06,1.859757e-08,5.951226e-09,3.523717e-10,4.483626e-11,3.890775e-13,1.484164e-14,1.808952e-15,2.286022e-16,
0.500000,128,128,1024,OS2-i8-accu,1.516682e-05,7.568393e-06,8.975325e-08,9.884111e-09,1.887531e-09,2.026914e-11,5.431669e-12,5.795930e-14,3.737723e-15,2.096827e-16,2.156084e-16,2.181816e-16,
0.500000,128,128,1024,OS2-f8-fast,2.008386e-05,1.923586e-06,1.859757e-08,1.412381e-09,2.346434e-10,5.428046e-12,4.090649e-14,8.605213e-15,4.416908e-15,4.412493e-15,2.488137e-15,3.574952e-15,
0.500000,128,128,1024,OS2-f8-accu,1.902242e-07,4.395493e-08,5.921882e-10,7.837803e-11,3.890775e-13,1.766101e-14,2.126759e-16,2.089365e-16,2.131193e-16,2.129205e-16,2.080949e-16,2.089298e-16,
0.500000,128,128,2048,DGEMM,4.714929e-10,4.714929e-10,4.714929e-10,4.714929e-10,4.714929e-10,4.714929e-10,4.714929e-10,4.714929e-10,4.714929e-10,4.714929e-10,4.714929e-10,4.714929e-10,
0.500000,128,128,2048,OS1-7,9.045955e-11,9.045955e-11,9.045955e-11,9.045955e-11,9.045955e-11,9.045955e-11,9.045955e-11,9.045955e-11,9.045955e-11,9.045955e-11,9.045955e-11,9.045955e-11,
0.500000,128,128,2048,OS1-11,2.968206e-16,2.968206e-16,2.968206e-16,2.968206e-16,2.968206e-16,2.968206e-16,2.968206e-16,2.968206e-16,2.968206e-16,2.968206e-16,2.968206e-16,2.968206e-16,
0.500000,128,128,2048,OS2-i8-fast,4.332136e-02,1.388727e-03,5.794453e-05,1.056451e-05,1.442801e-06,9.462486e-09,4.609089e-09,6.693183e-10,3.945580e-12,2.177649e-13,3.467496e-14,6.715340e-15,
0.500000,128,128,2048,OS2-i8-accu,7.881878e-04,2.016878e-05,2.516371e-06,2.966756e-07,1.162423e-08,4.695153e-10,3.959924e-12,1.003727e-12,3.846705e-15,2.513446e-16,2.119487e-16,2.088929e-16,
0.500000,128,128,2048,OS2-f8-fast,7.881878e-04,1.056451e-05,1.442801e-06,1.340015e-08,4.050902e-09,3.930250e-11,9.264106e-13,1.731890e-13,3.667536e-13,1.399948e-13,2.620566e-14,8.180253e-14,
0.500000,128,128,2048,OS2-f8-accu,1.133150e-05,2.966756e-07,1.162423e-08,6.693197e-10,9.124013e-12,2.811808e-14,2.513446e-16,2.157178e-16,2.094793e-16,2.105835e-16,2.135142e-16,2.087545e-16,
0.500000,128,128,4096,DGEMM,6.210554e-12,6.210554e-12,6.210554e-12,6.210554e-12,6.210554e-12,6.210554e-12,6.210554e-12,6.210554e-12,6.210554e-12,6.210554e-12,6.210554e-12,6.210554e-12,
0.500000,128,128,4096,OS1-7,2.579678e-11,2.579678e-11,2.579678e-11,2.579678e-11,2.579678e-11,2.579678e-11,2.579678e-11,2.579678e-11,2.579678e-11,2.579678e-11,2.579678e-11,2.579678e-11,
0.500000,128,128,4096,OS1-11,3.145767e-16,3.145767e-16,3.145767e-16,3.145767e-16,3.145767e-16,3.145767e-16,3.145767e-16,3.145767e-16,3.145767e-16,3.145767e-16,3.145767e-16,3.145767e-16,
0.500000,128,128,4096,OS2-i8-fast,1.115041e-03,1.316402e-04,2.046481e-05,5.703699e-07,4.755081e-08,3.774645e-09,1.533127e-10,1.432223e-11,2.212993e-12,3.248447e-14,6.470360e-16,8.341969e-16,
0.500000,128,128,4096,OS2-i8-accu,2.046481e-05,5.703699e-07,4.755082e-08,3.774645e-09,7.025937e-10,2.780045e-11,2.212873e-12,3.230508e-14,7.021917e-16,2.156805e-16,2.097772e-16,2.105786e-16,
