phi,m,n,k,function,3,4,5,6,7,8,9,10,11,12,
0.500000,128,128,16384,BF16x9,9.940764e-02,9.940764e-02,9.940764e-02,9.940764e-02,9.940764e-02,9.940764e-02,9.940764e-02,9.940764e-02,9.940764e-02,9.940764e-02,
0.500000,128,128,16384,OS2-i8-fast,6.460417e+04,1.544668e+04,3.807229e+02,3.846500e+01,1.264053e+00,5.607100e-02,6.751988e-03,7.528792e-05,5.414177e-04,3.458713e-05,
0.500000,128,128,16384,OS2-i8-accu,1.712038e+04,2.988174e+02,3.331150e+01,1.956865e+00,2.291354e-02,8.873628e-03,3.952537e-04,3.016868e-06,2.291931e-06,3.950931e-06,
0.500000,128,128,16384,OS2-f8-fast,3.182756e+04,3.807229e+02,3.846636e+01,2.851950e-01,3.682810e-02,3.389748e-03,2.485323e-03,3.281808e-04,1.887198e-03,1.967873e-04,
0.500000,128,128,16384,OS2-f8-accu,6.173653e+02,3.331150e+01,1.264045e+00,5.600628e-02,3.495814e-03,2.259307e-05,5.671267e-06,3.729716e-06,8.546867e-06,2.021468e-06,
0.500000,128,128,32768,CGEMM,1.982629e-02,1.982629e-02,1.982629e-02,1.982629e-02,1.982629e-02,1.982629e-02,1.982629e-02,1.982629e-02,1.982629e-02,1.982629e-02,
0.500000,128,128,32768,BF16x9,1.982629e-02,1.982629e-02,1.982629e-02,1.982629e-02,1.982629e-02,1.982629e-02,1.982629e-02,1.982629e-02,1.982629e-02,1.982629e-02,
0.500000,128,128,32768,OS2-i8-fast,7.060122e+04,4.114571e+03,2.701754e+02,2.373269e+01,8.501831e-01,7.275058e-02,4.457202e-03,3.436923e-05,1.258717e-04,1.451608e-04,
0.500000,128,128,32768,OS2-i8-accu,4.114571e+03,2.701754e+02,2.373263e+01,8.501800e-01,7.275644e-02,6.274255e-03,6.191302e-05,9.355209e-07,1.224867e-06,1.425335e-06,
0.500000,128,128,32768,OS2-f8-fast,6.897432e+03,2.701754e+02,1.052721e+01,4.425763e-01,2.481714e-02,8.379775e-04,7.695781e-05,6.294910e-04,1.459626e-04,8.507633e-04,
0.500000,128,128,32768,OS2-f8-accu,5.024960e+02,2.373263e+01,5.705457e-01,2.623749e-02,8.877702e-04,8.423281e-06,3.185425e-06,2.031904e-06,6.793845e-06,1.425335e-06,
0.500000,128,128,65536,CGEMM,8.262460e-03,8.262460e-03,8.262460e-03,8.262460e-03,8.262460e-03,8.262460e-03,8.262460e-03,8.262460e-03,8.262460e-03,8.262460e-03,
0.500000,128,128,65536,BF16x9,4.736374e-03,4.736374e-03,4.736374e-03,4.736374e-03,4.736374e-03,4.736374e-03,4.736374e-03,4.736374e-03,4.736374e-03,4.736374e-03,
