phi,m,n,k,function,relerr_max,relerr_med,TFLOPS,total_time [sec],conv_64f_2_8i,cublasGemmEx,conv_32i_2_8u,inverse_scaling
5.00E-01,4096,4096,4096,OS2-accu-10,2.50E-03,3.00E-10,5.93E+01,9.28E-03,1.66E-03,6.30E-03,8.52E-04,2.61E-04
5.00E-01,4096,4096,4096,OS2-accu-11,1.40E-04,1.87E-11,5.42E+01,1.01E-02,1.79E-03,6.92E-03,9.52E-04,2.76E-04
5.00E-01,4096,4096,4096,OS2-accu-12,6.94E-06,1.17E-12,5.02E+01,1.10E-02,1.88E-03,7.53E-03,1.05E-03,2.90E-04
5.00E-01,4096,4096,4096,OS2-accu-13,7.39E-07,7.57E-14,4.66E+01,1.18E-02,2.01E-03,8.16E-03,1.12E-03,3.08E-04
5.00E-01,4096,4096,4096,OS2-accu-14,2.05E-08,4.62E-15,4.33E+01,1.27E-02,2.11E-03,8.85E-03,1.21E-03,3.22E-04
5.00E-01,4096,4096,4096,OS2-accu-15,2.07E-09,2.03E-16,4.07E+01,1.35E-02,2.19E-03,9.45E-03,1.29E-03,3.40E-04
5.00E-01,4096,4096,4096,OS2-accu-16,4.13E-11,5.06E-17,3.84E+01,1.43E-02,2.29E-03,1.01E-02,1.40E-03,3.56E-04
5.00E-01,4096,4096,4096,OS2-accu-17,1.30E-12,4.55E-17,3.65E+01,1.50E-02,2.35E-03,1.07E-02,1.43E-03,3.73E-04
5.00E-01,4096,4096,4096,OS2-accu-18,1.47E-14,4.54E-17,3.42E+01,1.61E-02,2.43E-03,1.15E-02,1.54E-03,3.89E-04
5.00E-01,4096,4096,4096,OS2-accu-19,3.30E-16,4.54E-17,3.26E+01,1.69E-02,2.53E-03,1.21E-02,1.59E-03,4.05E-04
5.00E-01,4096,4096,4096,OS2-accu-20,2.21E-16,4.54E-17,3.05E+01,1.80E-02,2.63E-03,1.30E-02,1.72E-03,4.28E-04
5.00E-01,8192,8192,8192,INT8-GEMM,,,1.19E+03,9.26E-04,,,,
5.00E-01,8192,8192,8192,ZGEMMEx,1.20E-07,3.51E-15,7.00E+01,6.28E-02,,,,
5.00E-01,8192,8192,8192,ZGEMM,1.20E-07,3.51E-15,7.00E+01,6.29E-02,,,,
5.00E-01,8192,8192,8192,OS2-fast-2,2.17E+05,1.00E+00,4.91E+02,8.96E-03,1.61E-03,6.16E-03,5.86E-04,3.97E-04
5.00E-01,8192,8192,8192,OS2-fast-3,9.72E+06,2.99E-01,2.87E+02,1.53E-02,1.91E-03,1.17E-02,9.25E-04,5.72E-04
5.00E-01,8192,8192,8192,OS2-fast-4,2.18E+06,2.09E-02,2.13E+02,2.07E-02,2.16E-03,1.63E-02,1.29E-03,6.75E-04
