phi,m,n,k,function,relerr_max,relerr_med,watt,GFLOPS/watt,
5.000000e-01,8192,8192,8192,OS2-accu-8,3.217447e+00,7.675204e-08,7.811765e+02,1.421489e+02,
5.000000e-01,8192,8192,8192,OS2-accu-9,3.212377e-02,4.796649e-09,7.885432e+02,1.268767e+02,
5.000000e-01,8192,8192,8192,OS2-accu-10,6.818430e-03,2.998148e-10,7.893416e+02,1.169980e+02,
5.000000e-01,8192,8192,8192,OS2-accu-11,3.909055e-04,1.874112e-11,7.870282e+02,1.075629e+02,
5.000000e-01,8192,8192,8192,OS2-accu-12,9.462089e-05,1.171761e-12,7.889439e+02,1.003341e+02,
5.000000e-01,8192,8192,8192,OS2-accu-13,6.930218e-07,7.570807e-14,7.800882e+02,9.160791e+01,
5.000000e-01,8192,8192,8192,OS2-accu-14,4.438293e-08,4.615821e-15,7.877035e+02,8.513984e+01,
5.000000e-01,8192,8192,8192,OS2-accu-15,1.607549e-08,2.025894e-16,7.884305e+02,7.948290e+01,
5.000000e-01,8192,8192,8192,OS2-accu-16,2.098904e-10,5.066933e-17,7.917799e+02,7.498101e+01,
5.000000e-01,8192,8192,8192,OS2-accu-17,6.245756e-12,4.553963e-17,7.915011e+02,7.151466e+01,
5.000000e-01,8192,8192,8192,OS2-accu-18,1.318670e-13,4.546761e-17,7.909777e+02,6.810761e+01,
5.000000e-01,8192,8192,8192,OS2-accu-19,4.077176e-15,4.546355e-17,7.775287e+02,6.439937e+01,
5.000000e-01,8192,8192,8192,OS2-accu-20,2.063168e-15,4.545547e-17,7.836397e+02,6.111930e+01,
5.000000e-01,16384,16384,16384,INT8-GEMM,,,5.511668e+02,2.329960e+03,
5.000000e-01,16384,16384,16384,DGEMM,8.528938e-05,3.507486e-15,8.832736e+02,6.901841e+01,
5.000000e-01,16384,16384,16384,OS2-fast-2,6.817508e+04,1.000000e+00,5.098852e+02,8.710268e+02,
5.000000e-01,16384,16384,16384,OS2-fast-3,1.287852e+09,2.993717e-01,8.071240e+02,3.953122e+02,
5.000000e-01,16384,16384,16384,OS2-fast-4,1.645589e+08,2.085449e-02,8.190262e+02,3.263991e+02,
5.000000e-01,16384,16384,16384,OS2-fast-5,1.462563e+07,1.312408e-03,8.274773e+02,2.657287e+02,
5.000000e-01,16384,16384,16384,OS2-fast-6,4.078064e+05,8.205693e-05,8.145816e+02,2.267442e+02,
5.000000e-01,16384,16384,16384,OS2-fast-7,4.869197e+04,5.128125e-06,8.172874e+02,1.966222e+02,
5.000000e-01,16384,16384,16384,OS2-fast-8,3.059401e+03,3.205454e-07,8.215554e+02,1.733396e+02,
5.000000e-01,16384,16384,16384,OS2-fast-9,4.033224e+01,2.003368e-08,8.217225e+02,1.558876e+02,
5.000000e-01,16384,16384,16384,OS2-fast-10,1.842457e+01,1.252029e-09,8.213641e+02,1.401169e+02,
5.000000e-01,16384,16384,16384,OS2-fast-11,4.543584e-01,7.826234e-11,8.202502e+02,1.286826e+02,
5.000000e-01,16384,16384,16384,OS2-fast-12,1.252420e-02,4.891478e-12,8.250325e+02,1.184507e+02,
5.000000e-01,16384,16384,16384,OS2-fast-13,3.195619e-04,3.055384e-13,8.180210e+02,1.075283e+02,
5.000000e-01,16384,16384,16384,OS2-fast-14,1.542754e-04,2.100727e-14,8.138000e+02,1.000763e+02,
5.000000e-01,16384,16384,16384,OS2-fast-15,4.450454e-05,2.266007e-15,8.123120e+02,9.369891e+01,
5.000000e-01,16384,16384,16384,OS2-fast-16,1.106766e-06,9.570656e-17,8.152166e+02,8.748418e+01,
5.000000e-01,16384,16384,16384,OS2-fast-17,6.850633e-08,4.614633e-17,8.079234e+02,8.294275e+01,
5.000000e-01,16384,16384,16384,OS2-fast-18,7.038997e-10,4.546738e-17,8.062884e+02,7.862413e+01,
5.000000e-01,16384,16384,16384,OS2-fast-19,4.696684e-11,4.545643e-17,7.913294e+02,7.409806e+01,
5.000000e-01,16384,16384,16384,OS2-fast-20,1.996377e-12,4.545676e-17,7.902508e+02,7.083056e+01,
5.000000e-01,16384,16384,16384,OS2-accu-2,8.700157e+09,8.241168e-01,6.450844e+02,4.636032e+02,
5.000000e-01,16384,16384,16384,OS2-accu-3,2.595380e+09,8.013033e-02,7.897981e+02,3.006953e+02,
5.000000e-01,16384,16384,16384,OS2-accu-4,9.537317e+07,5.144505e-03,8.053211e+02,2.544898e+02,
5.000000e-01,16384,16384,16384,OS2-accu-5,1.087303e+06,3.220191e-04,8.053073e+02,2.184467e+02,
5.000000e-01,16384,16384,16384,OS2-accu-6,1.677003e+05,2.012929e-05,8.083792e+02,1.901456e+02,
5.000000e-01,16384,16384,16384,OS2-accu-7,4.565485e+03,1.282093e-06,8.087836e+02,1.689349e+02,
5.000000e-01,16384,16384,16384,OS2-accu-8,8.990401e+02,8.013378e-08,8.130514e+02,1.530825e+02,
5.000000e-01,16384,16384,16384,OS2-accu-9,2.404991e+00,5.015037e-09,8.127414e+02,1.379320e+02,
5.000000e-01,16384,16384,16384,OS2-accu-10,2.781774e+00,3.134665e-10,8.105226e+02,1.276704e+02,
5.000000e-01,16384,16384,16384,OS2-accu-11,2.951761e-01,1.959266e-11,8.100134e+02,1.171035e+02,
5.000000e-01,16384,16384,16384,OS2-accu-12,1.875341e-02,1.224296e-12,7.924326e+02,1.109959e+02,
5.000000e-01,16384,16384,16384,OS2-accu-13,2.946752e-03,1.498509e-13,8.047697e+02,9.936145e+01,
5.000000e-01,16384,16384,16384,OS2-accu-14,8.096598e-05,9.248965e-15,8.043924e+02,9.283816e+01,
5.000000e-01,16384,16384,16384,OS2-accu-15,3.266213e-06,4.726015e-16,8.018148e+02,8.688867e+01,
5.000000e-01,16384,16384,16384,OS2-accu-16,1.198342e-07,5.109147e-17,8.025787e+02,8.270915e+01,
5.000000e-01,16384,16384,16384,OS2-accu-17,4.342862e-09,4.554089e-17,7.996610e+02,7.787275e+01,
5.000000e-01,16384,16384,16384,OS2-accu-18,3.565326e-10,4.545730e-17,7.938382e+02,7.386448e+01,
5.000000e-01,16384,16384,16384,OS2-accu-19,3.621807e-13,4.545896e-17,7.853220e+02,7.063391e+01,
5.000000e-01,16384,16384,16384,OS2-accu-20,9.230812e-14,4.545608e-17,7.840726e+02,6.730756e+01,
